key	primaryKey	internalId	type	provider	dependencyKey
0cde1e9529310dfd672cc260c55f3ad1_unitybuiltinshaders_3318f342ad9154fd43b43844b504c453.bundle	0cde1e9529310dfd672cc260c55f3ad1_unitybuiltinshaders_3318f342ad9154fd43b43844b504c453.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\0cde1e9529310dfd672cc260c55f3ad1_unitybuiltinshaders_3318f342ad9154fd43b43844b504c453.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
arrows_assets_all_da090078e724c881140b6ecc6925d17e.bundle	arrows_assets_all_da090078e724c881140b6ecc6925d17e.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\arrows_assets_all_da090078e724c881140b6ecc6925d17e.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
asianplayervariation_assets__b437fd7077c4dfa3b3f05fbe06302151.bundle	asianplayervariation_assets__b437fd7077c4dfa3b3f05fbe06302151.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\asianplayervariation_assets__b437fd7077c4dfa3b3f05fbe06302151.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
badguy_assets_all_9acdbe35d3b1135ed75aa2cea90bd61b.bundle	badguy_assets_all_9acdbe35d3b1135ed75aa2cea90bd61b.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\badguy_assets_all_9acdbe35d3b1135ed75aa2cea90bd61b.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
beachwaves_assets__84fa132222b6d8073823eed38ff4fb38.bundle	beachwaves_assets__84fa132222b6d8073823eed38ff4fb38.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\beachwaves_assets__84fa132222b6d8073823eed38ff4fb38.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
beachwavesshared_assets__d018d26cda8b4a962d66c8089f87a0c0.bundle	beachwavesshared_assets__d018d26cda8b4a962d66c8089f87a0c0.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\beachwavesshared_assets__d018d26cda8b4a962d66c8089f87a0c0.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
beachwavesvats_assets__032458a07e8e785c682d885f4569ccc9.bundle	beachwavesvats_assets__032458a07e8e785c682d885f4569ccc9.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\beachwavesvats_assets__032458a07e8e785c682d885f4569ccc9.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
blackaplayervariation_assets__5e0e179ae9c1e484a1a8ba8c8b4b2e38.bundle	blackaplayervariation_assets__5e0e179ae9c1e484a1a8ba8c8b4b2e38.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\blackaplayervariation_assets__5e0e179ae9c1e484a1a8ba8c8b4b2e38.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
blackbplayervariation_assets__9bc54e28d2afad34ae36d2b527b99f2c.bundle	blackbplayervariation_assets__9bc54e28d2afad34ae36d2b527b99f2c.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\blackbplayervariation_assets__9bc54e28d2afad34ae36d2b527b99f2c.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
blackplayervariation_assets__cf4284927ff7c46375be379ae581547e.bundle	blackplayervariation_assets__cf4284927ff7c46375be379ae581547e.bundle	{UnityEngine.AddressableAssets.Addressables.RuntimePath}\StandaloneWindows64\blackplayervariation_assets__cf4284927ff7c46375be379ae581547e.bundle	UnityEngine.ResourceManagement.ResourceProviders.IAssetBundleResource	AssetBundleProvider	
