RigProbe 2026-09-24 21:51:37
source	name	actorType	active	skinnedMeshes	uniqueBones	humanoid	rigFamily	playerNameMatch	path
player	LocalPlayer		True	107	397	False	3485f157	205/205 (100%)	LocalPlayer
carry	FemaleCannibal		False	73	67	False	e5ab1cff	0/67 (0%)	LocalPlayer/CarryBody/FemaleCannibal
carry	MaleCannibal		False	57	91	False	18772f39	0/91 (0%)	LocalPlayer/CarryBody/MaleCannibal
carry	MalePuffy		False	14	63	False	f8c8bc7e	0/63 (0%)	LocalPlayer/CarryBody/MalePuffy
carry	FemalePuffy		False	14	63	False	f8c8bc7e	0/63 (0%)	LocalPlayer/CarryBody/FemalePuffy
actorPrefab	Rabbit	Rabbit	False	7	47	False	6e7f9a3b	0/47 (0%)	RabbitActor
actorPrefab	Squirrel	Squirrel	False	7	47	False	e37c3e52	0/47 (0%)	SquirrelActor
actorPrefab	Turtle	Turtle	False	5	83	False	738a4b04	0/83 (0%)	TurtleActor
actorPrefab	Shark	Shark	False	3	45	False	f8e9e758	0/45 (0%)	SharkActor
actorPrefab	Seagull	Seagull	False	4	32	False	6e68c35c	0/32 (0%)	SeagullActor
actorLive	Seagull_0	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull0
actorLive	Seagull_1	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull1
actorLive	Seagull_2	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull2
actorLive	Seagull_3	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull3
actorLive	Seagull_4	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull4
actorLive	Seagull_5	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull5
actorLive	Seagull_6	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull6
actorLive	Seagull_7	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull7
actorLive	Seagull_8	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull8
actorLive	Seagull_9	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull9
actorLive	Seagull_10	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull11
actorLive	Seagull_11	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull12
actorLive	Seagull_12	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull13
actorLive	Seagull_13	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull14
actorLive	Seagull_14	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull15
actorLive	Seagull_15	Seagull	True	4	32	False	6e68c35c	0/32 (0%)	Seagull10
actorPrefab	Eagle	Eagle	False	4	92	False	1bc4f22f	0/92 (0%)	EagleActor
actorPrefab	Duck	Duck	False	4	78	False	fddde995	0/78 (0%)	DuckActor
actorPrefab	Timmy	Timmy	False	19	64	False	9a1df90c	0/64 (0%)	TimmyActor
